comment_text,satd,comment_length
"// if we are the dest and is a call action, create the  // activation, but don't add it until the height is set.",0,112
// TR#18 1.2,0,12
//Ignore manifest entries.  They're bound to cause conflicts between //files that are being merged.  User should supply their own //manifest file when doing the merge.,0,167
"//NOTE: unlike all other Loaders, this one is NOT //      multithreaded, or cacheable!!",0,87
// no error as default,0,22
"// Although the default is not the same as for the string value, it is only used internally",0,91
// SHAPES FILLED,0,16
// i18n[mssql.fileOptions=File Options],0,39
//{{{ Private members,0,21
//}}},0,5
// this is expected,0,19
// test that the string is valid by converting it into an // object of this data type,0,85
// Note: if we want methods declared inside blocks to be accessible via // this.methodname() inside the block we could handle it here as a // special case.  See also resolveThisFieldReference() special handling // for BlockNameSpace case.  They currently work via the direct name // e.g. methodName().,0,301
//}}},0,5
////////////////////////////////////////////////////////////////////// // Error reporting. //////////////////////////////////////////////////////////////////////,0,161
"/*
     * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()
     */",0,84
// Set the static bsh This callback ,0,36
// garbage collected,0,20
// $NON-NLS-1$,0,14
// UndefinedMethod should be immutable,0,38
"// In column 0, the drop-down is indented past the collapse/expand icon. //",0,75
// this is the only case it might be null here (in MetaClass construction),0,74
// line 984,0,11
"/**
     * Prefix identified as an implementation specific class.
     * TODO: This should be generalized so it doesn't have to be changed
     * each time a new implementation is created - tfm 20051109
     */",1,210
//$NON-NLS-1$,0,13
//$NON-NLS-1$,0,13
"//     c.gridy = 0; //     c.gridx = 4; //     JLabel threeLabel = new JLabel(""asd""); //     gb.setConstraints(threeLabel, c); //     _mainPanel.add(threeLabel);",0,161
"// If we get this with the repository locked, it means our root // model element was already deleted.  Nothing to do...",0,119
// build ui,0,11
"// shift the decimal point just to the right of the digit to be rounded to (divide by 10**(abs(scale))) // -1 -> 10's digit, -2 -> 100's digit, etc.",0,148
"// we can't use the following valueOf() method, because it // won't compile with JDK1.4 // this.colorsPool.get(Integer.valueOf(awtColor.getRGB()));",0,147
// exit immediately,0,19
// This while loop is for restarting the block call in case a 'redo' fires.,0,75
// impossible as getMethods should only return public methods,0,61
// put the data and header names into the model,0,47
// preferences from the last session,0,36
// ignore,0,9
// reduce the default margins,0,29
"/*
     * @see org.argouml.ui.targetmanager.TargetListener#targetAdded(org.argouml.ui.targetmanager.TargetEvent)
     */",0,120
// Actor,0,8
// getting current node (under the selection),0,45
// line 876,0,11
"// get ""self""",0,13
// Available specification version must be >= required,0,54
// get selected row,0,19
// bsh.cwd,0,10
// Parsed request headers,0,25
"// Not all Oracle's, just 10g and above.",0,40
// Only encode strings if outVersion = 1.0 //$NON-NLS-1$,0,56
//}}},0,5
//{{{ getEOLMarkerColor() method,0,32
// valuePaint,0,13
// If the user wants to select for Right mouse clicks then change the selection before popup appears,0,100
//add the gen files to the collection,0,37
"//  // options.xml // //<options> // <gui> //  <messageviewer inline_attachments=""false""> //   <smilies enabled=""true"" /> //   <quote color=""0"" enabled=""true"" /> //  </messageviewer> //  <tree> //   <sorting sorted=""true"" ascending=""true"" comparator=""alphabetic"" /> //  </tree> // </gui> // <html prefer=""true"" /> // <markasread delay=""2"" enabled=""true"" /> // <headerviewer style=""0"" headerfields=""Subject Date Reply-To From To Cc Bcc"" /> //</options>",0,451
"// Just append all the parameter values, and use that as the post body",0,70
"// caching constructors, as they're accessed for each new instance",0,66
//Create spinner for update period,0,34
"/*
     * @see javax.swing.ListModel#getElementAt(int)
     */",0,62
// add the discriminator,0,24
// iterate through the datasets that map to the axis and get the union // of the ranges.,0,88
// updating the actions,0,23
// Assume success,0,17
// delete temporay file,0,23
// chart title // domain axis label // range axis label // data // orientation // include legend // tooltips? // URLs?,0,118
"/* (non-Javadoc)
	 * @see org.columba.core.search.api.ISearchResult#getLocation()
	 */",0,86
// check null argument...,0,25
//{{{ Instance variables,0,24
// Return StringBuffer content as a large String,0,48
"/* (non-Javadoc)
	 * @see net.sourceforge.squirrel_sql.client.util.IOptionPanel#getPanelComponent()
	 */",0,104
"// In the case of two arguments, MRI will discard the portion of // the first argument after a decimal point (i.e., ""floor""). // However in the case of a single argument, any portion after // the decimal point is honored.",0,221
"/*
	 * @see javax.swing.table.TableModel#getRowCount()
	 */",0,59
// Do this if you want to prohibit dropping onto the drag source...,0,67
"//TODO: cache the persister, this shows up in yourkit",1,53
// axis line visible...,0,23
// TODO: check threshold,1,24
"// value is a simple string representation of the data, // the same one used in Text and in-cell operations.",0,108
// shouldn't be possible,0,24
// Do nothing,0,13
"// If no project was entered on the command line, // try to reload the most recent project if that option is true",0,113
"/*
         * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)
         */",0,104
// FocusManager.getInstance().delete();,0,39
"/*
     * @see tudresden.ocl.check.types.Type#navigateParameterized(
     *         java.lang.String, tudresden.ocl.check.types.Type[])
     */",0,143
// null object ref is not instance of any type,0,46
"//The target DBMS, could be Mimer SQL Engine, Oracle, ... //This is optional. If you don't want to give out this info, please enter ""N/A""",0,137
// Transfer bytes from the ZIP file to the output file,0,54
// Update the Virtual Header,0,28
//{{{ isMainThread() method,0,27
"// Since the user only wants to be notified of updates at startup, return here, thereby  // freeing up the thread.",0,114
// Static initializer for archiveSchemes.,0,41
"// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args",0,107
//MessageNode getMessageNode(Object uid);,0,41
// Fill 7 of value (byte) -19,0,29
// Set the tooltip string:,0,26
// WEB REQUEST PANEL,0,20
"// If the flag will straddle two fields, bump it to the next one. //",0,68
"/*
     * @see org.tigris.gef.presentation.Fig#getLineWidth()
     */",0,69
//}}},0,5
// The name of the meta type is the class name (after the last .) // and before the next $ or end of class name.,0,112
// evaluate a method declaration,0,32
"// If it's an interface, then it will be treated as an EClass //",0,64
//}}},0,5
// Remove all the series from the collection and notify listeners.,0,66
// close button only there if 'temp' is true,0,44
//$NON-NLS-1$,0,13
//}}},0,5
// Guaranteed to return a non-null array,0,40
//}}},0,5
// fall through to normal processing of this key stroke,0,55
// load all internal addressbook plugins,0,40
// didn't receive any response,0,30
// Do update on Enter,0,21
// File name/path match,0,23
//}}},0,5
"// Loaded entity instances, by EntityKey",0,40
"/*
     * @see org.argouml.uml.ui.UMLComboBoxModel#getSelectedModelElement()
     */",0,84
// superclass does not use types,0,32
// empty implementation - we only handle mouseClicked,0,53
//yySindex 945,0,14
//{{{ getSelectedFiles() method,0,31
// // *****  Check the result  ***** //,0,39
// Java and MRI definitions of remainder are the same.,0,54
// todo : this eventually needs to be removed,1,45
// does nothing - override if necessary,0,39
// -G,0,5
// expect(session.getMessageHandler()).andReturn(messageHandler).anyTimes();,0,76
"/*
     * @see org.argouml.uml.ui.UMLModelElementListModel2#isValidElement(Object)
     */",0,90
//{{{ Soft tabs,0,15
// call the function in the app code that checks for unexpected // conditions in the current DB,0,95
// nothing to do,0,16
// TODO: Before adding a new region make the last region // its minimum size (smallest size that will still // contain all enclosed),1,132
// vertical light gray column separator line,0,44
// EQ == 0 (i.e. false),0,23
// create all of the gui objects now,0,36
// All needed to ensure re-usablility,0,37
//}}},0,5
"/* Let's create a class with the given name, otherwise
         * the user will not understand why we refuse his input! */",0,122
//Add begin,0,11
//}}},0,5
"// Don't use ""real"" type. Axion sets the column size to 12 by default, // yet it can handle more precision. So data being copied from the real // column can potentially be larger than what the column claims to support. // This will be a problem for other databases that pay attention to the // column size. // TODO: Perhaps re-introduce the REAL type, but use the new // getPrecisionDigits to max out the precision.",1,415
// Disable DELETE and BROWSE buttons if there are no rows in // the table to delete.,0,84
//ItemProvider/newChildDescriptorsReferenceDelegatedFeature.override.javajetinc,0,79
"/**
 * This class represents a Pool of Swimlanes for Activity diagrams. This is
 * exists only to act as the GEF style encloser. Other nodes in the same
 * must be placed entirely within or outside the boundaries of this Fig
 * but cannot intersect with the boundary. <p>
 * TODO: There is no actual model element being represented here so we are
 * inheriting a lot of behaviour from FigNodeModelElement that we don't want.
 * We require to split FigNodeModelElement to separate the code that requires
 * a model element owner. See issue ... <p>
 * Remark mvw: Why not give it an owner instead? The ActivityGraph 
 * is the obvious candidate, or maybe the top state.
 *
 * @author mkl
 */",1,689
// Reset the position.,0,22
// tests with values,0,20
// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,1,127
// Create package meta-data objects,0,35
// ---- otherPOBoxLabel ----,0,28
// createSubMenu();,0,19
//,0,2
"// now overwrite group ""G2""...",0,30
// Web Methods,0,14
// TODO: I18N required,1,22
"// TODO: This and recacheRespondsTo needed to be synchronized for JRUBY-3466, // but this degraded performance nearly 2x. It's still faster than MRI, but // a reanalysis of this code may show a faster way to ensure we're caching // safely.",1,239
// break the classLocations into its components.,0,48
//{{{ isBackgroundMode() method,0,31
// Local update directory,0,25
/*value*/,0,9
/*@bgen(jjtree) StatementExpressionList */,0,42
"/*
     * (non-Javadoc)
     *
     * @see org.apache.jmeter.testelement.TestStateListener#testEnded()
     */",0,110
//  Set HTTP headers,0,20
//Make the renderer reappear.,0,29
//,0,2
// check if the line segments intersect,0,39
// return an empty Type array,0,29
// i18n[popupeditableIoPanel.errWhileExecutin=Error while executing command.\nThe command was:\n {0}\nThe error was:\n{1}],0,122
// This is a tool window.,0,25
"/*
     * Necessary since GEF contains some errors regarding the hit subject.
     *
     * @see org.tigris.gef.presentation.Fig#hit(Rectangle)
     */",0,151
// now check autoPopulate==true,0,31
"/*
     * @see org.argouml.uml.ui.UMLModelElementListModel2#isValidElement(Object)
     */",0,90
"/*
	 * Get control panels to let user adjust properties
	 * on DataType classes.
	 */",0,85
//      create Command reference,0,32
//no mapper? use the identity policy,0,36
// CheckStyle:VisibilityModifier OFF - bc,0,41
// CompletionInfos are still loading,0,36
// i18n[UpdatePreferencesPanel.localPathLabel=Local Path:],0,58
"/*
     * @see org.argouml.cognitive.Poster#supports(org.argouml.cognitive.Decision)
     */",0,92
//{{{ sort() method,0,19
//}}},0,5
"// deletes the last "", """,0,24
//{{{ Marker methods,0,20
"//System.err.println(""Merge '""+previous+""' and '""+tok+""'."");",0,60
//{{{ getProperties() method,0,28
//}}},0,5
//_x = x; _y = y; _w = w; _h = h;,0,33
// CRC // compressed length // uncompressed length,0,50
//}}},0,5
// needed to prevent an infinite loop,0,37
// execute java process,0,23
"/* (non-Javadoc)
	 * @see javax.swing.table.AbstractTableModel#getColumnName(int)
	 */",0,86
